Alert ID,Ticker,Name,Description,Time,DaTE,ime,Column1
3784434232,"MEXC:VRAUSDT, 61m",MEXC:VRAUSDT 61m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T14:14:30Z"",

  ""exchange"": ""MEXC"",
  ""symbol"": ""VRAUSDT"",
  ""timeframe"": ""61"",

  ""action"": ""sell"",
  ""order_id"": ""Close position order"",
  ""contracts"": ""669412083"",

  ""close"": ""0.00006050"",
  ""position_side"": ""flat"",
  ""position_qty"": ""0""
}

",2026-01-21T14:14:30Z,21/01/2026,14:14:30Z,SELL
3785824480,"BINANCE:SHELLUSDT, 37m",BINANCE:SHELLUSDT 37m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T14:11:04Z"",

  ""exchange"": ""BINANCE"",
  ""symbol"": ""SHELLUSDT"",
  ""timeframe"": ""37"",

  ""action"": ""buy"",
  ""order_id"": ""Re-Long"",
  ""contracts"": ""201612"",

  ""close"": ""0.0496"",
  ""position_side"": ""long"",
  ""position_qty"": ""785421""
}

",2026-01-21T14:11:04Z,21/01/2026,14:11:04Z,BUY
3784318500,"BINANCE:NEXOUSDT, 25m",BINANCE:NEXOUSDT 25m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T14:10:14Z"",

  ""exchange"": ""BINANCE"",
  ""symbol"": ""NEXOUSDT"",
  ""timeframe"": ""25"",

  ""action"": ""buy"",
  ""order_id"": ""Master"",
  ""contracts"": ""10934"",

  ""close"": ""0.912"",
  ""position_side"": ""long"",
  ""position_qty"": ""10934""
}

",2026-01-21T14:10:14Z,21/01/2026,14:10:14Z,BUY
3784247454,"BINANCE:MDTUSDT, 53m",BINANCE:MDTUSDT 53m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T14:08:13Z"",

  ""exchange"": ""BINANCE"",
  ""symbol"": ""MDTUSDT"",
  ""timeframe"": ""53"",

  ""action"": ""buy"",
  ""order_id"": ""Master"",
  ""contracts"": ""815660"",

  ""close"": ""0.01225"",
  ""position_side"": ""long"",
  ""position_qty"": ""815660""
}

",2026-01-21T14:08:13Z,21/01/2026,14:08:13Z,BUY
3784521140,"BINANCE:NEXOUSDT, 22m",BINANCE:NEXOUSDT 22m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T13:58:58Z"",

  ""exchange"": ""BINANCE"",
  ""symbol"": ""NEXOUSDT"",
  ""timeframe"": ""22"",

  ""action"": ""buy"",
  ""order_id"": ""Master"",
  ""contracts"": ""11001"",

  ""close"": ""0.906"",
  ""position_side"": ""long"",
  ""position_qty"": ""11001""
}

",2026-01-21T13:58:58Z,21/01/2026,13:58:58Z,BUY
3781363078,"BINANCE:AMPUSDT, 59m",BINANCE:AMPUSDT 59m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T13:47:04Z"",

  ""exchange"": ""BINANCE"",
  ""symbol"": ""AMPUSDT"",
  ""timeframe"": ""59"",

  ""action"": ""buy"",
  ""order_id"": ""Master"",
  ""contracts"": ""4904364"",

  ""close"": ""0.002039"",
  ""position_side"": ""long"",
  ""position_qty"": ""4904364""
}

",2026-01-21T13:47:04Z,21/01/2026,13:47:04Z,BUY
3778864633,"BINANCE:XVSUSDT, 61m",BINANCE:XVSUSDT 61m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T13:13:01Z"",

  ""exchange"": ""BINANCE"",
  ""symbol"": ""XVSUSDT"",
  ""timeframe"": ""61"",

  ""action"": ""sell"",
  ""order_id"": ""Close position order"",
  ""contracts"": ""1890"",

  ""close"": ""5.50"",
  ""position_side"": ""flat"",
  ""position_qty"": ""0""
}
",2026-01-21T13:13:01Z,21/01/2026,13:13:01Z,SELL
3786247199,"BINANCE:MDTUSDT, 1h",BINANCE:MDTUSDT 1h,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T13:01:38Z"",

  ""exchange"": ""BINANCE"",
  ""symbol"": ""MDTUSDT"",
  ""timeframe"": ""60"",

  ""action"": ""buy"",
  ""order_id"": ""Re-Long"",
  ""contracts"": ""814995"",

  ""close"": ""0.01227"",
  ""position_side"": ""long"",
  ""position_qty"": ""1627342""
}

",2026-01-21T13:01:38Z,21/01/2026,13:01:38Z,BUY
3785088600,"BINANCE:HBARUSDT, 30m",BINANCE:HBARUSDT 30m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T13:00:01Z"",

  ""exchange"": ""BINANCE"",
  ""symbol"": ""HBARUSDT"",
  ""timeframe"": ""30"",

  ""action"": ""buy"",
  ""order_id"": ""Master"",
  ""contracts"": ""92841"",

  ""close"": ""0.10771"",
  ""position_side"": ""long"",
  ""position_qty"": ""92841""
}

",2026-01-21T13:00:01Z,21/01/2026,13:00:01Z,BUY
3784281581,"BINANCE:BATUSDT, 45m",BINANCE:BATUSDT 45m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T12:45:06Z"",

  ""exchange"": ""BINANCE"",
  ""symbol"": ""BATUSDT"",
  ""timeframe"": ""45"",

  ""action"": ""buy"",
  ""order_id"": ""Master"",
  ""contracts"": ""52110"",

  ""close"": ""0.1921"",
  ""position_side"": ""long"",
  ""position_qty"": ""52110""
}

",2026-01-21T12:45:06Z,21/01/2026,12:45:06Z,BUY
3785824480,"BINANCE:SHELLUSDT, 37m",BINANCE:SHELLUSDT 37m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T12:20:01Z"",

  ""exchange"": ""BINANCE"",
  ""symbol"": ""SHELLUSDT"",
  ""timeframe"": ""37"",

  ""action"": ""buy"",
  ""order_id"": ""Re-Long"",
  ""contracts"": ""198807"",

  ""close"": ""0.0502"",
  ""position_side"": ""long"",
  ""position_qty"": ""583809""
}

",2026-01-21T12:20:01Z,21/01/2026,12:20:01Z,BUY
3784434232,"MEXC:VRAUSDT, 61m",MEXC:VRAUSDT 61m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T12:12:15Z"",

  ""exchange"": ""MEXC"",
  ""symbol"": ""VRAUSDT"",
  ""timeframe"": ""61"",

  ""action"": ""buy"",
  ""order_id"": ""Re-Long test"",
  ""contracts"": ""172651933"",

  ""close"": ""0.00005794"",
  ""position_side"": ""long"",
  ""position_qty"": ""669412083""
}

",2026-01-21T12:12:15Z,21/01/2026,12:12:15Z,BUY
3785392290,"BINANCE:KMNOUSDT, 18m",BINANCE:KMNOUSDT 18m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T11:42:01Z"",

  ""exchange"": ""BINANCE"",
  ""symbol"": ""KMNOUSDT"",
  ""timeframe"": ""18"",

  ""action"": ""buy"",
  ""order_id"": ""Test 2 "",
  ""contracts"": ""195350"",

  ""close"": ""0.05120"",
  ""position_side"": ""long"",
  ""position_qty"": ""389148""
}

",2026-01-21T11:42:01Z,21/01/2026,11:42:01Z,BUY
3784318500,"BINANCE:NEXOUSDT, 25m",BINANCE:NEXOUSDT 25m,"{
  ""securityPhrase"": ""gt3jPCd1gq4IEoJxon1SzHRPfsSf1sfE"",
""strategyId"": ""7b6f65b4-fab4-4705-8f5b-1e257ad13e2f"",
  ""timestamp"": ""2026-01-21T11:40:45Z"",

  ""exchange"": ""BINANCE"",
  ""symbol"": ""NEXOUSDT"",
  ""timeframe"": ""25"",

  ""action"": ""sell"",
  ""order_id"": ""Close position order"",
  ""contracts"": ""52685"",

  ""close"": ""0.920"",
  ""position_side"": ""flat"",
  ""position_qty"": ""0""
}

",2026-01-21T11:40:45Z,21/01/2026,11:40:45Z,SELL
